Title,Date,Tag
"""متطورة"" تربح 100 مليون ريال في عام 2022",27 مارس 04:38 م,نتائج أعمال الشركات
"""المجموعة السعودية"" توقع اتفاقية لشراء حصة بـ""يونيبايو العالمية"" لإنتاج البروتين",27 مارس 04:26 م,استثمارات الشركات
"مساهمو ""البلاد"" يناقشون توزيع أرباح نقدية وشراء أسهم للموظفين أول مايو المقبل",27 مارس 04:14 م,مفكرة الاحداث
"""أرامكو السعودية"" تستحوذ على 10% من ""رونغشنغ"" الصينية بـ 3.6 مليار دولار",27 مارس 01:03 م,اندماجات واستحواذات
محدث.. السوق السعودي يشهد تنفيذ 23 صفقة خاصة بـ 1.01 مليار ريال,27 مارس 11:59 ص,حركة التداولات
"""ميدغلف"" تفسخ عقد الرئيس التنفيذي.. وتكلف عمر المحمود بالمنصب",27 مارس 11:42 ص,قرارات إدارية
تقرير: نمو القروض بالقطاع المصرفي السعودي يفوق الودائع بهامش ضخم,27 مارس 11:37 ص,بنوك ومالية
"""نت وركس"" توصي بتوزيع 2.35 ريال للسهم عن النصف الثاني لعام 2022",27 مارس 11:33 ص,توزيعات نقدية
"""بلدي للدواجن"" تقرر توزيع ريال للسهم نقداً على المساهمين للربع الرابع من 2022",27 مارس 11:31 ص,توزيعات نقدية
"""شور"" تعلن ترسية مشروع تقديم خدمات استشارية بمجال تقنية المعلومات",27 مارس 11:11 ص,استثمارات الشركات
"المبيعات تقفز بأرباح ""بلدي"" إلى 85.10 مليون ريال في عام 2022",27 مارس 10:56 ص,نتائج أعمال الشركات
"أرباح ""الناقول"" تهبط 91.2% بالعام 2022 لانخفاض الإيرادات وارتفاع التكاليف",27 مارس 10:54 ص,نتائج أعمال الشركات
"أرباح ""نت وركس"" ترتفع إلى 32.32 مليون ريال بالعام 2022",27 مارس 10:43 ص,نتائج أعمال الشركات
"""اتحاد الخليج الأهلية"" تعلن نيتها المؤكدة لتقديم عرض لشراء ""الصقر للتأمين""",27 مارس 10:41 ص,اندماجات واستحواذات
"""مصرف الراجحي"" يعتزم إصدار صكوك بالدولار الأمريكي لتلبية أهدافه الاستراتيجية",27 مارس 10:20 ص,صكوك وتمويل اسلامي
نماء للكيماويات تتلقى خطاباً من مساهمين بعقد جمعية عامة لعزل عضوي مجلس إدارة,27 مارس 10:20 ص,جمعيات عمومية
"""صدر"" تتحول للخسائر بالعام 2022 لارتفاع أسعار المواد الخام",27 مارس 10:09 ص,نتائج أعمال الشركات
"""صافولا"" توصي بتوزيع 0.66 ريال للسهم عن عام 2022",27 مارس 09:50 ص,أخبار الشركة
"سعيد الغامدي رئيساً لمجلس إدارة ""الأهلي السعودي"" بعد استقالة الخضيري",27 مارس 09:45 ص,بنوك ومالية
مساهمو سابك للمغذيات الزراعية يقرون توزيع 8 ريالات للسهم عن النصف الثاني 2022,27 مارس 09:41 ص,جمعيات عمومية
مساهمو بنك الرياض يقرون توزيع 0.65 ريال للسهم للنصف الثاني من 2022,27 مارس 09:27 ص,اجراءات الشركات
"الإيرادات ترتفع بالأرباح السنوية لـ""الأبحاث والإعلام"" لـ649 مليون ريال",27 مارس 09:06 ص,نتائج أعمال الشركات
"""دار المعدات"" توقع عقداً مع وزارة الصحة بـ166.6 مليون ريال",27 مارس 08:58 ص,أخبار الشركة
"أرباح ""صافولا"" تقفز لـ743 مليون ريال خلال 2022 بدعم قطاع الأغذية",27 مارس 08:32 ص,نتائج أعمال الشركات
"سناد القابضة تتحول للربحية خلال عام 2022 .. و""المتراكمة"" 27.5 مليون ريال",27 مارس 08:21 ص,نتائج أعمال الشركات
"""بحر العرب"" تتكبد 10.44 مليون ريال خسائر بالعام 2022 لانخفاض الإيرادات",26 مارس 04:33 م,نتائج أعمال الشركات
"تابعة لـ""عطاء"" توقع اتفاقية لشراء كامل الحصص في شركة الياسمين العالمية",26 مارس 04:20 م,استثمارات الشركات
"""وفرة"" تتحول للربحية خلال عام 2022.. وإيراداتها السنوية تقفز 108%",26 مارس 04:06 م,نتائج أعمال الشركات
أرامكو السعودية تعتزم بناء مصفاة ومجمع بتروكيميائيات في الصين,26 مارس 02:55 م,استثمارات الشركات
"""إس تي سي"" تقود شركات الاتصالات السعودية لأرباح 14.4 مليار ريال بالعام 2022",26 مارس 02:00 م,نتائج أعمال الشركات
"""ماريدايف"" تعلن تطورات رغبة شركة سعودية بالاستحواذ على ""فالنتاين"" التابعة",26 مارس 12:21 م,أخبار الشركة
"""زين السعودية"" يسجل أعلى مكاسب منذ أكتوبر 2020.. بعد النتائج وتوزيعات الأرباح",26 مارس 12:05 م,حركة التداولات
"الناصر: ""أرامكو"" تدعم أمن الطاقة بالصين.. ونقيم الاستثمار بالغاز الطبيعي المسال",26 مارس 12:01 م,اخبار السلع
"شركة أبحاث تحدد مستهدف ""التموين"" عند91 ريالاً وتوصي بـ""زيادة المراكز""",26 مارس 11:30 ص,تقييمات وتوصيات الأسهم
اليوم.. إدراج وبدء تداول آفاق الغذاء بالسوق الموازي السعودي,26 مارس 11:05 ص,حركة التداولات
"""متطورة"" تحصل على توزيعات نقدية بقيمة 15.45 مليون ريال من شركة زميلة",26 مارس 10:27 ص,توزيعات نقدية
أرباح أمواج الدولية ترتفع إلى 29 مليون ريال بالعام 2022,26 مارس 10:26 ص,نتائج أعمال الشركات
"""حديد وطني"" توصي بزيادة رأس المال بأسهم منحة.. وتوافق على تأسيس القطاع التجاري",26 مارس 10:13 ص,اجراءات الشركات
أرباح شور العالمية للتقنية ترتفع 32.82% في عام 2022 لزيادة الإيرادات,26 مارس 09:49 ص,نتائج أعمال الشركات
"تابعة لـ""منشآت"" تُوقع على اتفاقية لجدولة سداد 12.5 مليون دينار كويتي",26 مارس 09:48 ص,أخبار الشركة
حلواني إخوان توافق على استقالة الرئيس التنفيذي.. وتكليف فواز حلواني بالمنصب,26 مارس 09:37 ص,تعديلات مجالس الادارات
"""زين السعودية"" توصي بتوزيع 449.36 مليون ريال عن عام 2022",26 مارس 09:36 ص,أخبار الشركة
"""أنابيب"" تتحول للربحية خلال 2022 بـ9 ملايين ريال لارتفاع المبيعات",26 مارس 09:28 ص,نتائج أعمال الشركات
"الإيرادات تقفز بالأرباح السنوية لـ""زين السعودية"" إلى 550 مليون ريال",26 مارس 09:11 ص,نتائج أعمال الشركات
"الخسائر السنوية لـ""الخدمات الأرضية"" تتراجع لـ244.5 مليون ريال",26 مارس 08:54 ص,نتائج أعمال الشركات
"""لازوردي"" توصي بتوزيع أرباح نقدية على المساهمين عن 2022",23 مارس 06:12 م,توزيعات نقدية
"""المنجم"" تربح 290 مليون ريال في 2022.. وتسجل انخفاضاً 63% بأرباح الربع الرابع",23 مارس 05:48 م,نتائج أعمال الشركات
"""سابك"" تعلن تعديل موعد وجدول أعمال الجمعية العامة العادية",23 مارس 05:35 م,مفكرة الاحداث
"""دار المعدات"" تتسلم إقراراً من أحد كبار المساهمين للاحتفاظ بأسهم لنهاية 2024",23 مارس 05:17 م,أخبار الشركة
"""الخليجية العامة"" تتكبد 100 مليون ريال خسائر في عام 2022",23 مارس 05:09 م,نتائج أعمال الشركات
"أرباح ""آيكتك"" ترتفع 46% في 2022 بدعم نمو الإيرادات",23 مارس 05:03 م,نتائج أعمال الشركات
"13 أبريل.. مساهمو ""الأسمنت السعودية"" يصوتون على توزيع 1.75 ريال للسهم نقداً",23 مارس 04:36 م,جمعيات عمومية
"""المنجم"" توصي بتوزيع 60 مليون ريال أرباحاً نقدية عن النصف الثاني من 2022",23 مارس 04:28 م,توزيعات نقدية
"13 أبريل.. مساهمو ""بدجت السعودية"" يصوتون على توزيع 1.5 ريال للسهم نقداً",23 مارس 04:21 م,توزيعات نقدية
"أرباح ""لازوردي"" ترتفع 55.45% بالعام 2022.. وتحول إيجابي في الربع الرابع",23 مارس 04:20 م,نتائج أعمال الشركات
"""تكوين"" تعلن استقالة جميل عبدالله الملحم من منصب العضو المنتدب",23 مارس 04:14 م,أخبار الشركة
"""موديز"" تغيّر نظرتها المستقبلية للسيادي السعودي و5 شركات كبرى إلى ""إيجابية""",23 مارس 03:50 م,تصنيفات إئتمانية
"""أرامكو"" توقع مذكرة مع ""سامسونج"" لتوطين شبكات الجيل الخامس الصناعية بالسعودية",23 مارس 03:21 م,استثمارات الشركات
"""موديز"" تعدل نظرتها لـ9 بنوك سعودية من ""مستقرة إلى إيجابية",23 مارس 01:38 م,بنوك ومالية
"أرباح ""قمة السعودية"" تقفز91.7% بالعام 2022 لارتفاع أسعار البيع وانخفاض التكلفة",23 مارس 11:21 ص,نتائج أعمال الشركات
سمو العقارية تقرر توزيع ريال للسهم عن النصف الثاني من عام 2022,23 مارس 11:13 ص,مفكرة الاحداث
"""سمو"" تصعد بأرباحها إلى 87.63 مليون ريال في عام 2022 لارتفاع الإيرادات",23 مارس 10:54 ص,نتائج أعمال الشركات
"3 عوامل تهبط بخسائر ""ملاذ للتأمين"" إلى 18 مليون ريال في عام 2022",23 مارس 10:43 ص,نتائج أعمال الشركات
"خسائر ""أمانة للتأمين"" تتراجع 63.93% بالعام 2022 لانخفاض تكاليف الاكتتاب",23 مارس 10:38 ص,نتائج أعمال الشركات
"""سايكو"" تقلص خسارتها لـ30 مليون ريال بالعام 2022.. و""المتراكمة"" 24% من رأس المال",23 مارس 10:23 ص,نتائج أعمال الشركات
"""الدرع العربي"" تربح 46.55 مليون ريال في عام 2022.. وقفزة بالربع الرابع",23 مارس 10:22 ص,نتائج أعمال الشركات
"""ولاء للتأمين"" تقلص خسائرها 86% في عام 2022.. وتحول إيجابي بالربع الرابع",23 مارس 10:11 ص,نتائج أعمال الشركات
"""تهامة"": رفض دعوى المسؤولية ضد أعضاء مجلس إدارة سابقين",23 مارس 09:53 ص,أخبار الشركة
"""أبيكو"" تحصل على تسهيلات من السعودي للاستثمار بـ105.5 مليون ريال",23 مارس 09:50 ص,أخبار الشركة
"""التموين"" تقرر توزيع 41 مليون ريال على المساهمين عن العام 2022",23 مارس 09:17 ص,توزيعات نقدية
"""ساتورب"" تتحول للربحية بالعام 2022 لزيادة الإنتاج وتحسن هوامش التكرير",23 مارس 09:08 ص,نتائج أعمال الشركات
"""الدوائية"" تتحول للخسائر بالعام 2022 لانخفاض الإيرادات",23 مارس 08:57 ص,نتائج أعمال الشركات
"""ثمار"" تعين رئيساً تنفيذياً جديداً للشركة",22 مارس 06:24 م,أخبار الشركة
"13 أبريل.. مساهمو ""فيبكو"" يصوتون على زيادة رأس المال 100% بأسهم حقوق أولوية",22 مارس 06:10 م,جمعيات عمومية
"12 أبريل.. مساهمو ""الكثيري"" يصوتون على تقسيم القيمة الاسمية لسهم الشركة",22 مارس 05:59 م,مفكرة الاحداث
"مجلس إدارة ""لدن"" يقرر توزيع 30 هللة للسهم عن النصف الثاني من 2022",22 مارس 05:52 م,توزيعات نقدية
"""برغرايززر"" توصي بتجزئة القيمة الاسمية للسهم",22 مارس 05:49 م,اجراءات الشركات
"""سينومي سنترز"": اكتمال بيع قطعة أرض في الرياض وتحصيل 644.5 مليون ريال",22 مارس 05:43 م,استثمارات الشركات
"أرباح ""برغرايززر"" تتراجع 82% في 2022",22 مارس 05:30 م,نتائج أعمال الشركات
"أرباح ""دار الأركان"" السنوية ترتفع 233% إلى 442 مليون ريال",22 مارس 04:49 م,نتائج أعمال الشركات
"""اتحاد الخليج الأهلية"" و""الصقر للتأمين"" تكشفان تفاصيل الاندماج بعد اتفاق ملزم",22 مارس 04:38 م,اندماجات واستحواذات
"أرباح ""التموين"" تتضاعف 17 مرة في 2022.. والإيرادات 1.82 مليار ريال",22 مارس 04:25 م,نتائج أعمال الشركات
"أرباح ""أسمنت تبوك"" ترتفع 18% في عام 2022",22 مارس 04:18 م,نتائج أعمال الشركات
"""أبومعطي"" توقع اتفاقية تسهيلات بنكية بـ 40.5 مليون ريال",22 مارس 04:03 م,بنوك ومالية
"""سابك"" تعلن بدء التشغيل التجاري لمشروع تابع في الصين لإنتاج البولي كربونات",22 مارس 03:53 م,استثمارات الشركات
"""تداول السعودية"": صفقتان خاصتان على ""ساب"" و""الإنماء"" بـ54.8 مليون ريال",22 مارس 01:48 م,حركة التداولات
"""ملان"" تتحول للخسارة لانخفاض سعر الحديد عالمياً خلال 2022",22 مارس 12:41 م,نتائج أعمال الشركات
"""الخليج للتأمين"" تربح 93 مليون ريال في 2022.. وأرباحها المحتجزة 374 مليوناً",22 مارس 12:37 م,نتائج أعمال الشركات
"""لدن للاستثمار"" تربح 60.19 مليون ريال في عام 2022",22 مارس 12:24 م,نتائج أعمال الشركات
"""ألف ميم ياء"" توصي بتوزيع ريالين للسهم عن عام 2022",22 مارس 12:19 م,توزيعات نقدية
"""الدولية"" توقع عقداً مع جهة حكومية لتقديم برامج تدريبية ورفع مهارات منسوبيها",22 مارس 12:14 م,أخبار الشركة
أرباح نفوذ للمنتجات الغذائية ترتفع 17% في 2022 بدعم الإيرادات,22 مارس 11:46 ص,نتائج أعمال الشركات
"""ألف ميم ياء"" ترتفع بأرباحها إلى26.7 مليون ريال خلال عام 2022",22 مارس 11:46 ص,نتائج أعمال الشركات
"أرباح ""العبيكان للزجاج"" ترتفع إلى 177.6 مليون ريال في عام 2022",22 مارس 11:35 ص,نتائج أعمال الشركات
"""الاتحاد للتأمين"" تربح 50.8 مليون ريال في 2022.. وتسجل زيادة بأرباحها المتراكمة",22 مارس 11:26 ص,نتائج أعمال الشركات
"مجلس إدارة ""بي سي آي"" يوصي بتوزيع ريال عن عام 2022",22 مارس 11:17 ص,توزيعات نقدية
"خسائر ""أسيج"" تتراجع 80% في عام 2022.. و""المتراكمة"" 45.4% من رأس المال",22 مارس 11:17 ص,نتائج أعمال الشركات
"خسائر ""المتحدة للتأمين"" تتراجع 39% في 2022.. و""المتراكمة"" 192.6 مليون ريال",22 مارس 11:08 ص,نتائج أعمال الشركات
"تراجع الخسائر السنوية لـ""طباعة وتغليف"" إلى 9.22 مليون ريال لارتفاع المبيعات",22 مارس 11:01 ص,أخبار الشركة
أسمنت أم القرى تقرر عدم توزيع أرباح نقدية عن 2022 لدعم المركز المالي للشركة,22 مارس 10:57 ص,توزيعات نقدية
"تابعة لـ""تهامة"" تمدد مذكرة للانتهاء من التعاقد لتدشين 14 فرعاً لتجارة التجزئة",22 مارس 10:43 ص,أخبار الشركة
"""فتيحي القابضة"" تتحول للخسارة بـ17.24 مليون ريال خلال العام 2022",22 مارس 10:28 ص,نتائج أعمال الشركات
"""سابك"" تعين عبدالرحمن بن صالح الفقيه رئيساً تنفيذياً للشركة",22 مارس 10:18 ص,قرارات إدارية
"""المعمر"":ترسية مشروع مع المركز الوطني للموارد الحكومية بـ141.7 مليون ريال",22 مارس 10:12 ص,أخبار الشركة
"المبيعات تقفز بأرباح ""بي سي آي"" لـ70.4 مليون ريال خلال عام 2022",22 مارس 09:54 ص,نتائج أعمال الشركات
"مساهمو ""الراجحي"" يقرون توزيع 5 مليارات ريال أرباحاً نقدية عن عام 2022",22 مارس 09:43 ص,توزيعات نقدية
"""سابتكو"" توقع عقد مشروع النقل العام بالحافلات بالقصيم بـ115 مليون ريال",22 مارس 09:31 ص,استثمارات الشركات
"أرباح ""المواساة"" ترتفع لـ600 مليون ريال في عام 2022 بدعم قطاع العيادات الخارجية",21 مارس 06:04 م,نتائج أعمال الشركات
11 أبريل.. مساهمو أسمنت نجران يناقشون توزيع 0.25 ريال للسهم عن النصف الثاني,21 مارس 06:03 م,جمعيات عمومية
الرياض للتعمير توصي بتوزيع 25 هللة للسهم عن النصف الثاني من عام 2022,21 مارس 05:45 م,توزيعات نقدية
"""رعاية"" توصي بتوزيع 44.85 مليون ريال على المساهمين عن العام 2022",21 مارس 05:33 م,توزيعات نقدية
"أرباح ""الدواء"" ترتفع 27.73% في عام 2022 لزيادة الإيرادات",21 مارس 04:51 م,نتائج أعمال الشركات
"الأرباح السنوية لـ""الرياض للتعمير"" تتراجع إلى 300.4 مليون ريال",21 مارس 04:22 م,نتائج أعمال الشركات
"""دار الأركان"" تعلن سداد صكوك إسلامية بـ500 مليون دولار ضمن الشريحة الخامسة",21 مارس 04:12 م,صكوك وتمويل اسلامي
"""هيئة السوق"" السعودية تغرم ""مكة للإنشاء"" لمخالفتها قواعد الطرح",21 مارس 04:01 م,أخبار الشركة
"""ساكو"" تبدأ تطبيق خطة التحول الاستراتيجية لتحسين نتائج الشركة",21 مارس 12:18 م,أخبار الشركة
نسيج للتقنية تعلن ترسية مشروع مع رئاسة أمن الدولة بـ22.97 مليون ريال,21 مارس 11:55 ص,استثمارات الشركات
"""دار المعدات"" تعلن ترسية منافسة مشروع مع وزارة التعليم بقيمة 20.7 مليون ريال",21 مارس 11:38 ص,استثمارات الشركات
"خسائر ""العالمية"" ترتفع 55.7% في عام 2022.. وتحول إيجابي بالربع الرابع",21 مارس 11:28 ص,نتائج أعمال الشركات
"""الإنماء طوكيو"" تتحول للربحية خلال عام 2022 بـ11مليون ريال",21 مارس 11:28 ص,نتائج أعمال الشركات
أرباح بنان العقارية ترتفع 52.4% في عام 2022 بدعم إيرادات التأجير,21 مارس 11:13 ص,نتائج أعمال الشركات
"""ريدان"" تفتتح اليوم فرعها الجديد في الباحة.. والأثر المالي بالربع الأول 2023",21 مارس 11:11 ص,استثمارات الشركات
11 أبريل.. مساهمو الشرقية للتنمية يناقشون زيادة رأس المال 300% بطرح حقوق أولوية,21 مارس 10:57 ص,مفكرة الاحداث
"""المعمر"" تجدد اتفاقية تسهيلات ائتمانية مع ""ساب"" بـ 258.8 مليون ريال",21 مارس 10:48 ص,بنوك ومالية
"""جاكو"" تعلن رفض اعتراضها على قرارات هيئة ""الزكاة"" لعامي 2019 و2020",21 مارس 10:38 ص,أخبار الشركة
المبيعات تهبط بأرباح أسمنت الرياض إلى 189.8 مليون ريال خلال عام 2022,21 مارس 10:23 ص,نتائج أعمال الشركات
مساهمو أسمنت اليمامة يقرون توزيع ريال للسهم عن العام 2022,21 مارس 10:17 ص,جمعيات عمومية
"قطاع الخدمات اللوجستية يهبط بأرباح ""جاهز"" 49.6% في عام 2022",21 مارس 10:09 ص,نتائج أعمال الشركات
"""المعمر"" توقع عقداً مع وزارة الصحة لتطوير أنظمة بنوك الدم بـ84.13 مليون ريال",21 مارس 09:57 ص,نتائج أعمال الشركات
"أرباح ""مبكو"" ترتفع إلى 270.7 مليون ريال في عام 2022 بدعم الإيرادات",21 مارس 09:38 ص,نتائج أعمال الشركات
"خسائر ""ساكو"" تقفز إلى 142.5 مليون ريال بالعام 2022.. وتوصية بعدم توزيع أرباح",21 مارس 09:32 ص,نتائج أعمال الشركات
"أرباح ""الغاز"" ترتفع إلى 214 مليون ريال بالعام 2022 لزيادة الإيرادات",21 مارس 09:25 ص,نتائج أعمال الشركات
"الإيرادات تصعد بأرباح ""الخريف"" إلى 107.4 مليون ريال في عام 2022",21 مارس 08:55 ص,نتائج أعمال الشركات
"""المعمر"" تجدد اتفاقية تسهيلات ائتمانية مع ""الراجحي"" بـ500 مليون ريال",21 مارس 08:43 ص,أخبار الشركة
"10 أبريل.. مساهمو ""جاز"" يناقشون توزيع 35.5 مليون ريال عن عام 2022",20 مارس 07:26 م,اجراءات الشركات
"""الخریف"" توقع 3 عقود تشغيل وصيانة مع المياه الوطنية بـ184 مليون ريال",20 مارس 05:29 م,استثمارات الشركات
أرباح أسمنت أم القرى تتراجع 71.8% في عام 2022,20 مارس 04:40 م,نتائج أعمال الشركات
"10 أبريل.. مساهمو ""المتقدمة"" يناقشون شراء جزء من أسهم الشركة",20 مارس 04:38 م,مفكرة الاحداث
الوطنية للبناء والتسويق تحصل على تمويل من مصرف الإنماء بقيمة 85 مليون ريال,20 مارس 04:16 م,أخبار الشركة
"أكوا باور تعين ماركو أرتشيلي رئيساً تنفيذياً بعد رغبة ""بادمنثان"" بالتقاعد",20 مارس 04:10 م,أخبار الشركة
"أرامكو السعودية توقع اتفاقية مع ""دي إتش إل"" لإنشاء مركز عالمي للخدمات اللوجستية",20 مارس 02:15 م,استثمارات الشركات
"أرباح ""تشب"" تهبط إلى 13.4 مليون ريال في عام 2022.. ونمو 58% بالربع الرابع",20 مارس 11:44 ص,نتائج أعمال الشركات
اليوم.. إدراج وبدء تداول أسهم شبكة المعرفة للحاسب الآلي بالسوق الموازي السعودي,20 مارس 11:32 ص,تداول
محدث.. السوق السعودي يشهد تنفيذ 5 صفقات خاصة بـ 352.1 مليون ريال,20 مارس 11:22 ص,حركة التداولات
"أرباح ""رواسي"" ترتفع إلى 20.9 مليون ريال في عام 2022",20 مارس 11:17 ص,نتائج أعمال الشركات
"""أسمنت الشرقية"" تقرر توزيع 86 مليون ريال عن النصف الثاني لعام 2022",20 مارس 11:09 ص,توزيعات نقدية
"10 أبريل.. مساهمو بنك ""الاستثمار"" يناقشون توزيع أرباح نقدية للمساهمين",20 مارس 10:59 ص,بنوك ومالية
"ارتفاع الإيرادات يصعد بأرباح ""توبي"" إلى 131.45مليون ريال في عام 2022",20 مارس 10:55 ص,نتائج أعمال الشركات
11 أبريل.. مساهمو المراعي يناقشون توزيع ريال للسهم وشراء جزء من أسهم الشركة,20 مارس 10:51 ص,جمعيات عمومية
"""الإعادة السعودية"" تربح 56.7 مليون ريال في 2022.. وتسجل زيادة 30% بالربع الرابع",20 مارس 10:49 ص,نتائج أعمال الشركات
"""بترورابغ"" تعلن تشغيل وحدة تكسير الإيثان بعد انتهاء أعمال الصيانة",20 مارس 10:27 ص,أخبار الشركة
الأهلي السعودي يعلن تفاصيل استثماره في كريدي سويس بعد التطورات الأخيرة,20 مارس 10:03 ص,بنوك ومالية
"مجلس إدارة ""النهدي"" يقرر توزيع 390 مليون ريال عن النصف الثاني للعام 2022",20 مارس 10:02 ص,توزيعات نقدية
"""رتال"" توصي بزيادة رأس المال بمنح أسهم مجانية.. وتجزئة القيمة الاسمية للسهم",20 مارس 09:39 ص,توزيعات نقدية
"""أسمنت الشرقية"" تدعو الشركات المتخصصة لتقديم عروضها لإنشاء خط إنتاج جديد",20 مارس 09:39 ص,استثمارات الشركات
"الإيرادات ترتفع بالأرباح السنوية لـ""دله"" إلى 274.46 مليون ريال خلال 2021",20 مارس 09:29 ص,نتائج أعمال الشركات
"4 عوامل ترتفع بالأرباح السنوية لـ""النهدي"" إلى 887.8 مليون ريال",20 مارس 09:12 ص,نتائج أعمال الشركات
مصرف الراجحي والسعودية لإعادة التمويل العقاري يوقعان اتفاقية بـ 5 مليارات ريال,19 مارس 06:16 م,شركات - أخبار التمويل
شركة وجا توقع عقداً مع وزارة الرياضة بقيمة 24.61 مليون ريال,19 مارس 05:23 م,استثمارات الشركات
"""شمس"" تعلن افتتاح أول موقع غوص بالمنطقة الشرقية داخل منتجع سياحي",19 مارس 04:37 م,أخبار الشركة
"أرباح ""أسمنت الشرقية"" تهبط لـ143 مليون ريال في عام 2022..ونمو 53% بالربع الرابع",19 مارس 04:25 م,نتائج أعمال الشركات
"هيئة المنافسة السعودية توافق على اندماج ""عناية"" و""المتحدة للتأمين""",19 مارس 04:13 م,اندماجات واستحواذات
"""الخزف"" تبيع عقاراً في الخبر.. وتتوقع تحقيق 26.34 مليون ريال أرباحاً رأسمالية",19 مارس 04:06 م,استثمارات الشركات
أكوا باور توقع عقود بناء منشآت لتوليد الكهرباء في أوزبكستان بـ2.5 مليار دولار,19 مارس 03:46 م,استثمارات الشركات
"""أكاديمية التعلّم"" تؤجر مقراً في الرياض 10 سنوات بقيمة 38.25 مليون ريال",19 مارس 11:32 ص,أخبار الشركة
"""عناية"" تعلن ترسية عقد مع مجموعة أبوسرهد لتقديم خدمات التأمين الصحي",19 مارس 11:29 ص,استثمارات الشركات
"""الإنماء طوكيو"": حكم نهائي برد دعوى تأمينية تطالب الشركة بتعويض 287 مليون ريال",19 مارس 11:22 ص,أخبار الشركة
"""المركز الكندي الطبي"" تقرر توزيع أرباح نقدية عن النصف الثاني 13 أبريل المقبل",19 مارس 11:07 ص,مفكرة الاحداث
أسمنت المدينة تقرر توزيع 0.50 ريال للسهم عن النصف الثاني من عام 2022,19 مارس 11:03 ص,توزيعات نقدية
"""جروب فايف"" تتكبد 24.38 مليون ريال خسائر خلال عام 2022",19 مارس 10:55 ص,نتائج أعمال الشركات
"أرباح ""المركز الكندي الطبي"" ترتفع 11.3% في عام 2022",19 مارس 10:42 ص,نتائج أعمال الشركات
"""السيف غاليري"" تقرر توزيع 35 مليون ريال على المساهمين عن الربع الرابع 2022",19 مارس 10:40 ص,توزيعات نقدية
"""المعمر"": إطلاق أعمال شركة تابعة بمجال الدفع الآجل في الربع الثاني من عام 2023",19 مارس 10:26 ص,استثمارات الشركات
"أرباح ""صناعة الورق"" ترتفع 54.85% في عام 2022.. وقفزة بالربع الرابع",19 مارس 10:06 ص,نتائج أعمال الشركات
أرباح أسمنت المدينة تهبط إلى 115 مليون ريال عام 2022 لانخفاض المبيعات,19 مارس 09:45 ص,نتائج أعمال الشركات
الحفر العربية تسجل قفزة بالأرباح في عام 2022.. ونمو 15.6% بالربع الرابع,19 مارس 09:22 ص,نتائج أعمال الشركات
"أرباح ""الكيميائية"" ترتفع لـ80 مليوناً في عام 2022.. وتحول إيجابي بالربع الرابع",19 مارس 09:06 ص,نتائج أعمال الشركات
"""إشراق للاستثمار"" الإماراتية تبحث الإدراج المزدوج في السوق السعودي",17 مارس 12:38 م,أخبار الشركة
"9 أبريل..مساهمو""أسمنت العربية"" يناقشون توزيع 1.10 ريال للسهم عن النصف الثاني",16 مارس 06:53 م,مفكرة الاحداث
"أرباح ""أليانز"" تقفز 70% عام 2022 لارتفاع أقساط التأمين المكتسبة",16 مارس 05:57 م,نتائج أعمال الشركات
"""أملاك العالمية"" توصي بتوزيع 0.80 ريال للسهم عن العام 2022",16 مارس 05:23 م,توزيعات نقدية
"أرباح ""العربية"" ترتفع لـ274.7 مليون ريال خلال عام 2022 بدعم المبيعات",16 مارس 05:19 م,نتائج أعمال الشركات
"المبيعات تهبط بأرباح ""السيف غاليري"" إلى 129.8 مليون ريال في عام 2022",16 مارس 04:59 م,نتائج أعمال الشركات
"أرباح ""أسمنت الشمالية"" تتراجع لـ112.45 مليون ريال بالعام 2022 لانخفاض المبيعات",16 مارس 04:18 م,نتائج أعمال الشركات
"سوق الأسهم السعودية.. صفقة خاصة على ""سهل"" ضمن مستويات التداول",16 مارس 02:47 م,حركة التداولات
رئيس الأهلي السعودي: يجب توفير منظومة للشركات الصغيرة لتبني برامج الادخار,16 مارس 02:38 م,الأخبار العامة
إس آند بي جلوبال: البنوك السعودية لديها حلول لتجاوز ضغط السيولة وارتفاع القروض,16 مارس 11:01 ص,الأخبار العامة
"""الكابلات"": حكم ابتدائي برفض طلب افتتاح إجراء إعادة التنظيم المالي",16 مارس 10:38 ص,أخبار الشركة
"""المتقدمة"" توصي بشراء 650.66 ألف سهم ضمن برنامج حوافز الموظفين",16 مارس 10:25 ص,اجراءات الشركات
"""باعظيم"" توصي بتوزيع 1.1 ريال للسهم عن النصف الثاني من عام 2022",16 مارس 10:23 ص,توزيعات نقدية
"""بدجت"" تعلن تطورات استحواذ شركة تابعة على 3 شركات بالسعودية والإمارات والكويت",16 مارس 10:08 ص,اندماجات واستحواذات
"""أسترا الصناعية"" توصي بتوزيع 200 مليون ريال على المساهمين عن العام 2022",16 مارس 10:01 ص,توزيعات نقدية
"""هرفي للأغذية"" توصي بتوزيع 0.5 ريال للسهم عن العام 2022",16 مارس 09:44 ص,توزيعات نقدية
"أرباح ""هرفي للأغذية"" تهبط 97.66% عام 2022 لانخفاض المبيعات وزيادة التكلفة",16 مارس 09:31 ص,نتائج أعمال الشركات
أرباح أسترا الصناعية تقفز إلى 474.32 مليون ريال في عام 2022 بدعم 3 قطاعات,16 مارس 09:16 ص,نتائج أعمال الشركات
