Title,Date,Tag
"""الاتحاد"" توصي بزيادة رأسمالها إلى 500 مليون ريال بمنح أسهم مجانية",7 أغسطس 10:20 ص,اجراءات الشركات
"أرباح ""الدرع العربي"" ترتفع 62.8% في الربع الثاني",7 أغسطس 10:13 ص,نتائج أعمال الشركات
"""مجموعة الحكير"" تتحول للربحية بالربع الثاني 2023.. و""المتراكمة"" 54.02 مليون ريال",7 أغسطس 10:03 ص,نتائج أعمال الشركات
"أرباح ""رعاية"" ترتفع إلى 47.8 مليون ريال في الربع الثاني بدعم الإيرادات",7 أغسطس 10:03 ص,نتائج أعمال الشركات
"""أرامكو السعودية"" تقرر توزيع 110.18 مليار ريال أرباحاً نقدية على المساهمين",7 أغسطس 09:52 ص,مفكرة الاحداث
"""الاتحاد للتأمين"" تتحول للربحية في الربع الثاني بـ53.5 مليون ريال",7 أغسطس 09:50 ص,نتائج أعمال الشركات
"أسعار النفط تهبط بأرباح ""أرامكو"" إلى 112.81 مليار ريال في الربع الثاني 2023",7 أغسطس 09:42 ص,نتائج أعمال الشركات
"""ولاء"" تربح 41.15 مليون ريال في الربع الثاني من 2023",7 أغسطس 09:42 ص,نتائج أعمال الشركات
"""أسمنت العربية"" توصي بتوزيع 75 مليون ريال أرباحاً نقدية عن النصف الأول",7 أغسطس 09:32 ص,مفكرة الاحداث
"""عذيب للاتصالات"" تقدم ملف زيادة رأسمالها بأسهم حقوق أولوية إلى هيئة السوق",7 أغسطس 09:23 ص,أخبار الشركة
"انخفاض المبيعات تهبط بأرباح ""الجوف الزراعية"" خلال الربع الثاني 2023",7 أغسطس 09:21 ص,نتائج أعمال الشركات
"المبيعات تهبط بأرباح ""أسمنت العربية"" 37.8% بالربع الثاني 2023",7 أغسطس 09:02 ص,نتائج أعمال الشركات
"""أرامكو"" تعلن نتائجها المالية وتوزيعات الأرباح غداً الاثنين",6 أغسطس 06:10 م,نتائج أعمال الشركات
"""الخريف"" توقع عقداً مع المياه الوطنية بـ1.6 مليار ريال.. وتحدد موعد الأثر المالي",6 أغسطس 04:57 م,استثمارات الشركات
"""البحر الأحمر"" توقع عقداً لإنشاء مبانٍ مسبقة الصنع ضمن مجمع سكني في نيوم",6 أغسطس 04:33 م,استثمارات الشركات
"أرباح ""برغرايززر"" ترتفع 9.6% في النصف الأول بدعم نمو الإيرادات",6 أغسطس 04:33 م,نتائج أعمال الشركات
"""العالمية"" تعلن انخفاض خسائرها المتراكمة بدعم من تحسن الأداء المالي للشركة",6 أغسطس 04:29 م,أخبار الشركة
