Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,8314.19,8355.91,8322.18,8339.86,8339.86,201768533
2018-07-02,8339.8603515625,8345.1796875,8266.6103515625,8274.98046875,8274.98046875,157572100
2018-07-03,8274.98046875,8286.3896484375,8220.8798828125,8235.5595703125,8235.5595703125,117636800
2018-07-04,8235.5595703125,8252.26953125,8200.990234375,8247.3896484375,8247.3896484375,104667900
2018-07-05,8247.3896484375,8249.759765625,8174.9599609375,8177.60986328125,8177.60986328125,129396800
2018-07-09,8222.5302734375,8329.6298828125,8218.8203125,8326.58984375,8326.58984375,120288700
2018-07-10,8326.58984375,8425.509765625,8324.08984375,8417.91015625,8417.91015625,136890400
2018-07-11,8417.91015625,8426.150390625,8367.8603515625,8388.66015625,8388.66015625,112104600
2018-07-12,8388.66015625,8388.66015625,8324.3603515625,8362.41015625,8362.41015625,103268000
2018-07-16,8405.08984375,8490.75,8400.2099609375,8490.75,8490.75,120746300
2018-07-17,8490.75,8490.75,8437.669921875,8462.58984375,8462.58984375,102835500
2018-07-18,8462.58984375,8471.1396484375,8435.5498046875,8452.2998046875,8452.2998046875,104094000
2018-07-19,8452.2998046875,8457.3095703125,8426.9296875,8449.9697265625,8449.9697265625,108384200
2018-07-23,8466.6201171875,8502.919921875,8444.740234375,8448.48046875,8448.48046875,155972200
2018-07-24,8448.48046875,8455.75,8402.599609375,8405.8203125,8405.8203125,121988000
2018-07-25,8405.8203125,8420.3203125,8389.009765625,8399.830078125,8399.830078125,102121800
2018-07-26,8399.830078125,8404.9501953125,8346.7900390625,8367.7001953125,8367.7001953125,117214800
2018-07-30,8307.419921875,8334.3095703125,8284.6904296875,8309.3701171875,8309.3701171875,153767000
2018-07-31,8309.3701171875,8332.6103515625,8293.73046875,8294.830078125,8294.830078125,128074400
2018-08-01,8294.830078125,8313.5703125,8284.98046875,8288.98046875,8288.98046875,121401700
2018-08-02,8288.98046875,8288.98046875,8232.3603515625,8253.5400390625,8253.5400390625,122810000
2018-08-06,8242.7099609375,8250.48046875,8221.16015625,8230.1298828125,8230.1298828125,141381400
2018-08-07,8230.1298828125,8242.8203125,8208.8203125,8242.8203125,8242.8203125,151105400
2018-08-08,8242.8203125,8258.33984375,8205.4599609375,8210.2900390625,8210.2900390625,150993600
2018-08-09,8210.2900390625,8210.2900390625,8165.89990234375,8176.18017578125,8176.18017578125,166517700
2018-08-12,8176.18017578125,8176.18017578125,8056.7900390625,8064.919921875,8064.919921875,133747200
2018-08-13,8064.919921875,8064.919921875,7839.580078125,7872.7900390625,7872.7900390625,141737400
2018-08-14,7872.7900390625,7962.93017578125,7862.8798828125,7893.18017578125,7893.18017578125,126792900
2018-08-15,7893.18017578125,7912.93994140625,7834.47998046875,7865.68017578125,7865.68017578125,90882200
2018-08-16,7865.68017578125,7867.16015625,7826.33984375,7867.16015625,7867.16015625,92389200
2018-08-26,7903.85009765625,7988.10009765625,7903.52978515625,7978.830078125,7978.830078125,74683500
2018-08-27,7978.830078125,8045.16015625,7967.830078125,8000.1298828125,8000.1298828125,76840100
2018-08-28,8000.1298828125,8036.56005859375,8000.1298828125,8036.56005859375,8036.56005859375,90179100
2018-08-29,8036.56005859375,8037.0498046875,7970.58984375,8018.5400390625,8018.5400390625,94152900
2018-08-30,8018.5400390625,8018.5400390625,7921.990234375,7948.25,7948.25,87811100
2018-09-02,7948.25,7948.25,7876.7001953125,7915.06982421875,7915.06982421875,91690900
2018-09-03,7915.06982421875,7955.27978515625,7914.39990234375,7942.43017578125,7942.43017578125,90248900
2018-09-04,7942.43017578125,8002.3798828125,7934.990234375,7968.240234375,7968.240234375,109588600
2018-09-05,7968.240234375,7976.52001953125,7601.81982421875,7719.10009765625,7719.10009765625,176141900
2018-09-06,7719.10009765625,7754.93994140625,7552.47021484375,7687.759765625,7687.759765625,159037700
2018-09-09,7687.759765625,7737.18994140625,7616.31982421875,7729.06982421875,7729.06982421875,94699600
2018-09-10,7729.06982421875,7775.5400390625,7684.18017578125,7706.33984375,7706.33984375,104475400
2018-09-11,7706.33984375,7719.14013671875,7675.14013671875,7693.06982421875,7693.06982421875,79705500
2018-09-12,7693.06982421875,7726.68017578125,7600.0498046875,7635.3798828125,7635.3798828125,104241100
2018-09-13,7635.3798828125,7635.3798828125,7535.43017578125,7590.64990234375,7590.64990234375,92328100
2018-09-16,7590.64990234375,7601.919921875,7451.4599609375,7469.81005859375,7469.81005859375,116834700
2018-09-17,7469.81005859375,7609.68017578125,7407.27001953125,7609.64990234375,7609.64990234375,142016000
2018-09-18,7609.64990234375,7667.7998046875,7581.52001953125,7643.39990234375,7643.39990234375,124365600
2018-09-19,7643.39990234375,7732.259765625,7637.0498046875,7729.64990234375,7729.64990234375,118252200
2018-09-20,7729.64990234375,7769.330078125,7706.60986328125,7768.31005859375,7768.31005859375,103015800
2018-09-25,7768.31005859375,7908.419921875,7768.31005859375,7905.27001953125,7905.27001953125,121407200
2018-09-26,7905.27001953125,7940.64013671875,7867.89990234375,7893.5498046875,7893.5498046875,114233000
2018-09-27,7893.5498046875,7930.4501953125,7882.68017578125,7898.68017578125,7898.68017578125,169082700
2018-09-30,7898.68017578125,8007.330078125,7898.68017578125,7999.5400390625,7999.5400390625,118760500
2018-10-01,7999.5400390625,8038.58984375,7987.740234375,8038.06982421875,8038.06982421875,124577200
2018-10-02,8038.06982421875,8062.27978515625,7967.169921875,7981.18994140625,7981.18994140625,133846600
2018-10-03,7981.18994140625,8010.47021484375,7940.43017578125,8008.5498046875,8008.5498046875,126531900
2018-10-04,8008.5498046875,8028.35986328125,7982.06005859375,7997.60986328125,7997.60986328125,104148300
2018-10-07,7997.60986328125,8005.31005859375,7869.39990234375,7893.6201171875,7893.6201171875,129959000
2018-10-08,7893.6201171875,7943.97998046875,7862.2099609375,7939.169921875,7939.169921875,117917300
2018-10-09,7939.169921875,7948.31005859375,7896.33984375,7904.740234375,7904.740234375,117701900
2018-10-10,7904.740234375,7907.8701171875,7824.89013671875,7834.7900390625,7834.7900390625,103230300
2018-10-11,7834.7900390625,7834.7900390625,7511.22998046875,7530.7998046875,7530.7998046875,171587800
2018-10-14,7530.7998046875,7530.7998046875,7001.93994140625,7266.58984375,7266.58984375,251108400
2018-10-15,7266.58984375,7567.56982421875,7266.58984375,7567.56982421875,7567.56982421875,225843800
2018-10-16,7567.56982421875,7666.7998046875,7262.64990234375,7666.7998046875,7666.7998046875,286062800
2018-10-17,7666.7998046875,7702.990234375,7628.580078125,7657.8701171875,7657.8701171875,156654600
